PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3 POINT MADE,3 POINT ATTEMPTED,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS/MINUS,FP
Victor Wembanyama,SAS,SAS vs. WAS,01/29/2024,L,31,22,9,19,47.4,0,4,0,4,4,100,3,8,11,4,1,3,4,1,-12,49.2
Wendell Carter Jr.,ORL,ORL @ DAL,01/29/2024,L,29,9,2,7,28.6,1,4,25,4,5,80,5,3,8,2,0,0,1,6,-1,20.6
LeBron James,LAL,LAL @ ATL,01/30/2024,L,36,20,7,17,41.2,2,6,33.3,4,9,44.4,2,7,9,8,1,1,3,1,-6,45.8
Stephen Curry,GSW,GSW vs. PHI,01/30/2024,W,35,37,12,17,70.6,8,13,61.5,5,5,100,1,7,8,7,0,1,5,2,26,55.1
Jayson Tatum,BOS,BOS vs. IND,01/30/2024,W,39,30,12,19,63.2,4,9,44.4,2,3,66.7,0,7,7,7,1,2,2,2,-4,55.9
Jalen Brunson,NYK,NYK vs. UTA,01/30/2024,W,38,29,10,23,43.5,2,6,33.3,7,8,87.5,0,3,3,9,0,1,0,2,19,49.1
Joel Embiid,PHI,PHI @ GSW,01/30/2024,L,30,14,5,18,27.8,2,6,33.3,2,2,100,1,6,7,2,2,0,8,5,-21,23.4
Trae Young,ATL,ATL vs. LAL,01/30/2024,W,34,26,9,20,45,6,9,66.7,2,2,100,1,1,2,13,1,0,5,0,5,45.9
James Harden,LAC,LAC @ WAS,01/31/2024,W,33,25,7,15,46.7,5,10,50,6,6,100,1,8,9,5,2,4,2,2,20,59.3
Giannis Antetokounmpo,MIL,MIL @ POR,01/31/2024,L,38,27,10,16,62.5,0,2,0,7,11,63.6,3,5,8,4,3,1,6,5,6,48.6
Shai Gilgeous-Alexander,OKC,OKC vs. DEN,01/31/2024,W,36,34,10,22,45.5,2,3,66.7,12,13,92.3,1,6,7,5,1,2,2,4,-1,56.9
