PLAYER,MATCH UP,GAME DATE,W/L,MIN,PTS
James Harden,LAC @ DAL,11/10/2023,L,29,14
LeBron James,LAL @ PHX,11/10/2023,W,36,32
Anthony Edwards,MIN @ SAS,11/10/2023,W,37,28
Shai Gilgeous-Alexander,OKC @ SAC,11/10/2023,L,38,33
Tyrese Maxey,PHI @ DET,11/10/2023,W,39,29
Joel Embiid,PHI @ DET,11/10/2023,W,36,33
Kevin Durant,PHX vs. LAL,11/10/2023,L,39,38
Victor Wembanyama,SAS vs. MIN,11/10/2023,L,35,29
Trae Young,ATL vs. MIA,11/11/2023,L,38,27
Jayson Tatum,BOS vs. TOR,11/11/2023,W,34,27
Stephen Curry,GSW vs. CLE,11/11/2023,L,33,30
Giannis Antetokounmpo,MIL @ ORL,11/11/2023,L,37,35
Stephen Curry,GSW vs. MIN,11/12/2023,L,36,38
James Harden,LAC vs. MEM,11/12/2023,L,29,11
Anthony Edwards,MIN @ GSW,11/12/2023,W,38,33
Jalen Brunson,NYK vs. CHA,11/12/2023,W,27,20
Shai Gilgeous-Alexander,OKC @ PHX,11/12/2023,W,37,35
Tyrese Maxey,PHI vs. IND,11/12/2023,W,39,50
Joel Embiid,PHI vs. IND,11/12/2023,W,33,37
Kevin Durant,PHX vs. OKC,11/12/2023,L,36,28
Victor Wembanyama,SAS vs. MIA,11/12/2023,L,34,18
Jayson Tatum,BOS vs. NYK,11/13/2023,W,39,35
Giannis Antetokounmpo,MIL vs. CHI,11/13/2023,W,35,35
Jalen Brunson,NYK @ BOS,11/13/2023,L,39,26
James Harden,LAC @ DEN,11/14/2023,L,35,21
LeBron James,LAL vs. MEM,11/14/2023,W,23,16
Anthony Edwards,MIN @ GSW,11/14/2023,W,36,20
Shai Gilgeous-Alexander,OKC vs. SAS,11/14/2023,W,28,28
Tyrese Maxey,PHI vs. IND,11/14/2023,L,38,27
Joel Embiid,PHI vs. IND,11/14/2023,L,38,39
Victor Wembanyama,SAS @ OKC,11/14/2023,L,28,8
Trae Young,ATL vs. NYK,11/15/2023,L,34,15
Jayson Tatum,BOS @ PHI,11/15/2023,W,39,29
LeBron James,LAL vs. SAC,11/15/2023,L,35,28
Anthony Edwards,MIN @ PHX,11/15/2023,L,31,13
Jalen Brunson,NYK @ ATL,11/15/2023,W,41,24
Tyrese Maxey,PHI vs. BOS,11/15/2023,L,39,20
Joel Embiid,PHI vs. BOS,11/15/2023,L,34,20
Kevin Durant,PHX vs. MIN,11/15/2023,W,35,31
Shai Gilgeous-Alexander,OKC @ GSW,11/16/2023,W,29,24
Trae Young,ATL vs. PHI,11/17/2023,L,37,22
Jayson Tatum,BOS @ TOR,11/17/2023,W,37,17
James Harden,LAC vs. HOU,11/17/2023,W,34,24
LeBron James,LAL @ POR,11/17/2023,W,35,35
Giannis Antetokounmpo,MIL @ CHA,11/17/2023,W,28,16
Jalen Brunson,NYK @ WAS,11/17/2023,W,34,32
Tyrese Maxey,PHI @ ATL,11/17/2023,W,40,19
Joel Embiid,PHI @ ATL,11/17/2023,W,37,32
Kevin Durant,PHX @ UTA,11/17/2023,W,33,38
Victor Wembanyama,SAS vs. SAC,11/17/2023,L,30,27
Stephen Curry,GSW vs. OKC,11/18/2023,L,40,25
Giannis Antetokounmpo,MIL vs. DAL,11/18/2023,W,38,40
Anthony Edwards,MIN @ NOP,11/18/2023,W,30,23
Jalen Brunson,NYK @ CHA,11/18/2023,W,39,32
Shai Gilgeous-Alexander,OKC @ GSW,11/18/2023,W,41,40
Victor Wembanyama,SAS vs. MEM,11/18/2023,L,31,19
Jayson Tatum,BOS @ MEM,11/19/2023,W,35,20
LeBron James,LAL vs. HOU,11/19/2023,W,40,37
Shai Gilgeous-Alexander,OKC @ POR,11/19/2023,W,23,28
Tyrese Maxey,PHI @ BKN,11/19/2023,W,36,25
Joel Embiid,PHI @ BKN,11/19/2023,W,31,32
Kevin Durant,PHX @ UTA,11/19/2023,W,46,39
Jayson Tatum,BOS @ CHA,11/20/2023,L,44,45
Stephen Curry,GSW vs. HOU,11/20/2023,W,35,32
James Harden,LAC @ SAS,11/20/2023,W,28,13
Giannis Antetokounmpo,MIL @ WAS,11/20/2023,W,34,42
Anthony Edwards,MIN vs. NYK,11/20/2023,W,39,23
Jalen Brunson,NYK @ MIN,11/20/2023,L,36,25
Victor Wembanyama,SAS vs. LAC,11/20/2023,L,27,9
Trae Young,ATL vs. IND,11/21/2023,L,39,38
LeBron James,LAL vs. UTA,11/21/2023,W,24,17
Tyrese Maxey,PHI vs. CLE,11/21/2023,L,47,30
Joel Embiid,PHI vs. CLE,11/21/2023,L,41,32
Kevin Durant,PHX vs. POR,11/21/2023,W,37,31
Trae Young,ATL vs. BKN,11/22/2023,W,40,43
Jayson Tatum,BOS vs. MIL,11/22/2023,W,36,23
Stephen Curry,GSW @ PHX,11/22/2023,L,28,16
James Harden,LAC @ SAS,11/22/2023,W,36,16
LeBron James,LAL vs. DAL,11/22/2023,L,36,26
Giannis Antetokounmpo,MIL @ BOS,11/22/2023,L,37,21
Anthony Edwards,MIN vs. PHI,11/22/2023,W,36,31
Shai Gilgeous-Alexander,OKC vs. CHI,11/22/2023,W,37,40
Tyrese Maxey,PHI @ MIN,11/22/2023,L,34,16
Kevin Durant,PHX vs. GSW,11/22/2023,W,34,32
