PLAYER,MATCH UP,GAME DATE,W/L,MIN,PTS
LeBron James,LAL vs. TOR,01/09/2024,W,35,22
Anthony Edwards,MIN @ ORL,01/09/2024,W,26,6
Jalen Brunson,NYK vs. POR,01/09/2024,W,26,12
Trae Young,ATL vs. PHI,01/10/2024,W,43,28
Jayson Tatum,BOS vs. MIN,01/10/2024,W,42,45
Stephen Curry,GSW vs. NOP,01/10/2024,L,25,15
James Harden,LAC vs. TOR,01/10/2024,W,34,14
Anthony Edwards,MIN @ BOS,01/10/2024,L,46,29
Shai Gilgeous-Alexander,OKC @ MIA,01/10/2024,W,34,28
Tyrese Maxey,PHI @ ATL,01/10/2024,L,43,35
Victor Wembanyama,SAS @ DET,01/10/2024,W,21,16
Jayson Tatum,BOS @ MIL,01/11/2024,L,16,7
LeBron James,LAL vs. PHX,01/11/2024,L,24,10
Giannis Antetokounmpo,MIL vs. BOS,01/11/2024,W,26,24
Jalen Brunson,NYK @ DAL,01/11/2024,L,39,30
Shai Gilgeous-Alexander,OKC vs. POR,01/11/2024,W,21,31
Kevin Durant,PHX @ LAL,01/11/2024,W,32,18
Trae Young,ATL vs. IND,01/12/2024,L,30,13
Stephen Curry,GSW @ CHI,01/12/2024,W,35,27
James Harden,LAC @ MEM,01/12/2024,W,28,11
Anthony Edwards,MIN vs. POR,01/12/2024,W,27,9
Tyrese Maxey,PHI vs. SAC,01/12/2024,W,40,21
Victor Wembanyama,SAS vs. CHA,01/12/2024,W,20,26
Trae Young,ATL vs. WAS,01/13/2024,L,36,21
Jayson Tatum,BOS vs. HOU,01/13/2024,W,30,27
Giannis Antetokounmpo,MIL vs. GSW,01/13/2024,W,37,33
Shai Gilgeous-Alexander,OKC vs. ORL,01/13/2024,W,36,37
James Harden,LAC @ MIN,01/14/2024,L,36,14
Giannis Antetokounmpo,MIL vs. SAC,01/14/2024,W,40,27
Anthony Edwards,MIN vs. LAC,01/14/2024,W,38,33
Kevin Durant,PHX @ POR,01/14/2024,W,38,21
Trae Young,ATL vs. SAS,01/15/2024,W,38,36
Jayson Tatum,BOS @ TOR,01/15/2024,W,37,19
Stephen Curry,GSW @ MEM,01/15/2024,L,33,26
LeBron James,LAL vs. OKC,01/15/2024,W,39,25
Shai Gilgeous-Alexander,OKC @ LAL,01/15/2024,L,34,24
Wendell Carter Jr.,ORL @ NYK,01/15/2024,W,19,17
Tyrese Maxey,PHI vs. HOU,01/15/2024,W,35,27
Joel Embiid,PHI vs. HOU,01/15/2024,W,31,41
Victor Wembanyama,SAS @ ATL,01/15/2024,L,27,26
James Harden,LAC vs. OKC,01/16/2024,W,41,16
Shai Gilgeous-Alexander,OKC @ LAC,01/16/2024,L,34,19
Tyrese Maxey,PHI vs. DEN,01/16/2024,W,43,25
Joel Embiid,PHI vs. DEN,01/16/2024,W,39,41
Kevin Durant,PHX vs. SAC,01/16/2024,W,39,27
Trae Young,ATL vs. ORL,01/17/2024,W,39,18
Jayson Tatum,BOS vs. SAS,01/17/2024,W,32,24
LeBron James,LAL vs. DAL,01/17/2024,W,33,25
Anthony Edwards,MIN @ DET,01/17/2024,W,33,27
Jalen Brunson,NYK vs. HOU,01/17/2024,W,37,30
Wendell Carter Jr.,ORL @ ATL,01/17/2024,L,24,18
Victor Wembanyama,SAS @ BOS,01/17/2024,L,27,27
Anthony Edwards,MIN vs. MEM,01/18/2024,W,34,28
Jalen Brunson,NYK vs. WAS,01/18/2024,W,40,41
Shai Gilgeous-Alexander,OKC @ UTA,01/18/2024,W,35,31
Jayson Tatum,BOS vs. DEN,01/19/2024,L,39,22
LeBron James,LAL vs. BKN,01/19/2024,L,34,24
Wendell Carter Jr.,ORL vs. PHI,01/19/2024,L,26,25
Tyrese Maxey,PHI @ ORL,01/19/2024,W,34,32
Joel Embiid,PHI @ ORL,01/19/2024,W,31,36
Kevin Durant,PHX @ NOP,01/19/2024,W,35,26
Trae Young,ATL vs. CLE,01/20/2024,L,28,15
Giannis Antetokounmpo,MIL @ DET,01/20/2024,W,38,31
Anthony Edwards,MIN vs. OKC,01/20/2024,L,38,19
Jalen Brunson,NYK vs. TOR,01/20/2024,W,35,38
Shai Gilgeous-Alexander,OKC @ MIN,01/20/2024,W,37,33
Tyrese Maxey,PHI @ CHA,01/20/2024,W,42,16
Joel Embiid,PHI @ CHA,01/20/2024,W,37,33
Victor Wembanyama,SAS @ WAS,01/20/2024,W,28,24
Jayson Tatum,BOS @ HOU,01/21/2024,W,35,18
James Harden,LAC vs. BKN,01/21/2024,W,38,24
LeBron James,LAL vs. POR,01/21/2024,W,31,28
Wendell Carter Jr.,ORL vs. MIA,01/21/2024,W,34,17
Kevin Durant,PHX vs. IND,01/21/2024,W,40,40
Jayson Tatum,BOS @ DAL,01/22/2024,W,41,39
Giannis Antetokounmpo,MIL @ DET,01/22/2024,W,36,31
Anthony Edwards,MIN vs. CHA,01/22/2024,L,37,9
Wendell Carter Jr.,ORL vs. CLE,01/22/2024,L,27,10
Tyrese Maxey,PHI vs. SAS,01/22/2024,W,42,18
Joel Embiid,PHI vs. SAS,01/22/2024,W,37,70
Kevin Durant,PHX vs. CHI,01/22/2024,W,41,43
Victor Wembanyama,SAS @ PHI,01/22/2024,L,28,33
James Harden,LAC vs. LAL,01/23/2024,W,39,23
Jalen Brunson,NYK @ BKN,01/23/2024,W,36,30
Shai Gilgeous-Alexander,OKC vs. POR,01/23/2024,W,35,33
Stephen Curry,GSW vs. ATL,01/24/2024,W,31,25
Giannis Antetokounmpo,MIL vs. CLE,01/24/2024,W,35,35
Anthony Edwards,MIN @ WAS,01/24/2024,W,34,38
Shai Gilgeous-Alexander,OKC @ SAS,01/24/2024,W,29,32
Kevin Durant,PHX @ DAL,01/24/2024,W,38,12
Victor Wembanyama,SAS vs. OKC,01/24/2024,L,28,24
Jayson Tatum,BOS @ MIA,01/25/2024,W,32,26
Stephen Curry,GSW vs. SAC,01/25/2024,L,36,33
LeBron James,LAL vs. CHI,01/25/2024,W,36,25
Anthony Edwards,MIN @ BKN,01/25/2024,W,36,24
Jalen Brunson,NYK vs. DEN,01/25/2024,W,27,21
Tyrese Maxey,PHI @ IND,01/25/2024,L,29,22
Joel Embiid,PHI @ IND,01/25/2024,L,31,31
Trae Young,ATL vs. DAL,01/26/2024,L,33,30
James Harden,LAC @ TOR,01/26/2024,W,35,22
Giannis Antetokounmpo,MIL vs. CLE,01/26/2024,L,36,22
Shai Gilgeous-Alexander,OKC @ NOP,01/26/2024,W,32,31
Wendell Carter Jr.,ORL @ MEM,01/26/2024,L,35,20
Kevin Durant,PHX @ IND,01/26/2024,L,39,20
Victor Wembanyama,SAS vs. POR,01/26/2024,W,29,23
Jayson Tatum,BOS vs. LAC,01/27/2024,L,30,21
Stephen Curry,GSW vs. LAL,01/27/2024,L,43,46
James Harden,LAC @ BOS,01/27/2024,W,27,9
LeBron James,LAL @ GSW,01/27/2024,W,48,36
Giannis Antetokounmpo,MIL vs. NOP,01/27/2024,W,29,30
Anthony Edwards,MIN @ SAS,01/27/2024,L,38,32
Jalen Brunson,NYK vs. MIA,01/27/2024,W,38,32
Victor Wembanyama,SAS vs. MIN,01/27/2024,W,30,23
Trae Young,ATL vs. TOR,01/28/2024,W,42,30
Shai Gilgeous-Alexander,OKC @ DET,01/28/2024,L,29,31
Wendell Carter Jr.,ORL vs. PHX,01/28/2024,W,23,9
Kevin Durant,PHX @ ORL,01/28/2024,L,37,15
Jayson Tatum,BOS vs. NOP,01/29/2024,W,38,28
James Harden,LAC @ CLE,01/29/2024,L,39,11
LeBron James,LAL @ HOU,01/29/2024,L,37,23
Giannis Antetokounmpo,MIL @ DEN,01/29/2024,L,37,29
Anthony Edwards,MIN @ OKC,01/29/2024,W,40,27
Jalen Brunson,NYK @ CHA,01/29/2024,W,34,32
Shai Gilgeous-Alexander,OKC vs. MIN,01/29/2024,L,39,37
Wendell Carter Jr.,ORL @ DAL,01/29/2024,L,29,9
Kevin Durant,PHX @ MIA,01/29/2024,W,42,20
Victor Wembanyama,SAS vs. WAS,01/29/2024,L,31,22
Trae Young,ATL vs. LAL,01/30/2024,W,34,26
Jayson Tatum,BOS vs. IND,01/30/2024,W,39,30
Stephen Curry,GSW vs. PHI,01/30/2024,W,35,37
LeBron James,LAL @ ATL,01/30/2024,L,36,20
Jalen Brunson,NYK vs. UTA,01/30/2024,W,38,29
Joel Embiid,PHI @ GSW,01/30/2024,L,30,14
James Harden,LAC @ WAS,01/31/2024,W,33,25
Giannis Antetokounmpo,MIL @ POR,01/31/2024,L,38,27
Anthony Edwards,MIN vs. DAL,01/31/2024,W,30,9
Shai Gilgeous-Alexander,OKC vs. DEN,01/31/2024,W,36,34
Wendell Carter Jr.,ORL @ SAS,01/31/2024,W,26,14
Kevin Durant,PHX @ BKN,01/31/2024,W,38,33
Victor Wembanyama,SAS vs. ORL,01/31/2024,L,30,21
Jayson Tatum,BOS vs. LAL,02/01/2024,L,37,23
Jalen Brunson,NYK vs. IND,02/01/2024,W,37,40
Tyrese Maxey,PHI @ UTA,02/01/2024,W,41,51
Trae Young,ATL vs. PHX,02/02/2024,W,42,32
Stephen Curry,GSW @ MEM,02/02/2024,W,32,20
James Harden,LAC @ DET,02/02/2024,W,34,4
Anthony Edwards,MIN vs. ORL,02/02/2024,L,35,22
Shai Gilgeous-Alexander,OKC vs. CHA,02/02/2024,W,30,31
Wendell Carter Jr.,ORL @ MIN,02/02/2024,W,37,18
Kevin Durant,PHX @ ATL,02/02/2024,L,38,35
Victor Wembanyama,SAS vs. NOP,02/02/2024,L,28,16
Trae Young,ATL vs. GSW,02/03/2024,W,42,35
Stephen Curry,GSW @ ATL,02/03/2024,L,41,60
LeBron James,LAL @ NYK,02/03/2024,W,40,24
Giannis Antetokounmpo,MIL @ DAL,02/03/2024,W,40,48
Jalen Brunson,NYK vs. LAL,02/03/2024,L,45,36
Tyrese Maxey,PHI vs. BKN,02/03/2024,L,31,23
Victor Wembanyama,SAS vs. CLE,02/03/2024,L,27,19
Jayson Tatum,BOS vs. MEM,02/04/2024,W,31,34
James Harden,LAC @ MIA,02/04/2024,W,42,21
Giannis Antetokounmpo,MIL @ UTA,02/04/2024,L,40,33
Anthony Edwards,MIN vs. HOU,02/04/2024,W,34,32
Shai Gilgeous-Alexander,OKC vs. TOR,02/04/2024,W,48,23
Wendell Carter Jr.,ORL @ DET,02/04/2024,W,28,7
Kevin Durant,PHX @ WAS,02/04/2024,W,26,18
Trae Young,ATL vs. LAC,02/05/2024,L,36,25
Stephen Curry,GSW @ BKN,02/05/2024,W,34,29
James Harden,LAC @ ATL,02/05/2024,W,39,30
LeBron James,LAL @ CHA,02/05/2024,W,40,26
Tyrese Maxey,PHI vs. DAL,02/05/2024,L,33,15
Giannis Antetokounmpo,MIL @ PHX,02/06/2024,L,39,34
Anthony Edwards,MIN @ CHI,02/06/2024,L,44,38
Jalen Brunson,NYK vs. MEM,02/06/2024,W,31,27
Shai Gilgeous-Alexander,OKC @ UTA,02/06/2024,L,36,28
Wendell Carter Jr.,ORL @ MIA,02/06/2024,L,28,15
Kevin Durant,PHX vs. MIL,02/06/2024,W,39,28
Trae Young,ATL @ BOS,02/07/2024,L,38,20
Jayson Tatum,BOS vs. ATL,02/07/2024,W,36,20
Stephen Curry,GSW @ PHI,02/07/2024,W,25,9
James Harden,LAC vs. NOP,02/07/2024,L,38,19
Tyrese Maxey,PHI vs. GSW,02/07/2024,L,30,12
Victor Wembanyama,SAS @ MIA,02/07/2024,L,28,18
Stephen Curry,GSW @ IND,02/08/2024,W,30,42
LeBron James,LAL vs. DEN,02/08/2024,L,35,25
Giannis Antetokounmpo,MIL vs. MIN,02/08/2024,L,27,17
Anthony Edwards,MIN @ MIL,02/08/2024,W,36,26
Wendell Carter Jr.,ORL vs. SAS,02/08/2024,W,26,10
Kevin Durant,PHX vs. UTA,02/08/2024,W,35,31
Victor Wembanyama,SAS @ ORL,02/08/2024,L,23,15
Trae Young,ATL @ PHI,02/09/2024,W,40,37
Jayson Tatum,BOS vs. WAS,02/09/2024,W,38,35
LeBron James,LAL vs. NOP,02/09/2024,W,38,21
Giannis Antetokounmpo,MIL vs. CHA,02/09/2024,W,24,15
Trae Young,ATL vs. HOU,02/10/2024,W,33,18
Stephen Curry,GSW vs. PHX,02/10/2024,W,34,30
James Harden,LAC vs. DET,02/10/2024,W,36,14
Jalen Brunson,NYK vs. IND,02/10/2024,L,37,39
Shai Gilgeous-Alexander,OKC @ DAL,02/10/2024,L,29,25
Wendell Carter Jr.,ORL vs. CHI,02/10/2024,W,26,6
Tyrese Maxey,PHI @ WAS,02/10/2024,W,36,28
Kevin Durant,PHX @ GSW,02/10/2024,L,39,24
Victor Wembanyama,SAS @ BKN,02/10/2024,L,29,21
Jayson Tatum,BOS @ MIA,02/11/2024,W,39,26
Shai Gilgeous-Alexander,OKC vs. SAC,02/11/2024,W,39,38
Trae Young,ATL vs. CHI,02/12/2024,L,36,19
Stephen Curry,GSW @ UTA,02/12/2024,W,32,25
James Harden,LAC vs. MIN,02/12/2024,L,32,17
Giannis Antetokounmpo,MIL vs. DEN,02/12/2024,W,30,36
Anthony Edwards,MIN @ LAC,02/12/2024,W,32,23
Jalen Brunson,NYK @ HOU,02/12/2024,L,39,27
Tyrese Maxey,PHI @ CLE,02/12/2024,W,42,22
Victor Wembanyama,SAS @ TOR,02/12/2024,W,29,27
Jayson Tatum,BOS @ BKN,02/13/2024,W,39,41
LeBron James,LAL vs. DET,02/13/2024,W,31,25
Giannis Antetokounmpo,MIL vs. MIA,02/13/2024,L,34,23
Anthony Edwards,MIN @ POR,02/13/2024,W,34,41
Shai Gilgeous-Alexander,OKC @ ORL,02/13/2024,W,34,32
Wendell Carter Jr.,ORL vs. OKC,02/13/2024,L,31,22
Kevin Durant,PHX vs. SAC,02/13/2024,W,38,28
Trae Young,ATL @ CHA,02/14/2024,L,34,12
Jayson Tatum,BOS vs. BKN,02/14/2024,W,28,20
Stephen Curry,GSW vs. LAC,02/14/2024,L,35,41
James Harden,LAC @ GSW,02/14/2024,W,40,26
Jalen Brunson,NYK @ ORL,02/14/2024,L,35,33
Wendell Carter Jr.,ORL vs. NYK,02/14/2024,W,24,9
Tyrese Maxey,PHI vs. MIA,02/14/2024,L,39,30
Kevin Durant,PHX vs. DET,02/14/2024,W,30,25
Victor Wembanyama,SAS @ DAL,02/14/2024,L,27,26
Stephen Curry,GSW @ UTA,02/15/2024,W,35,16
Giannis Antetokounmpo,MIL @ MEM,02/15/2024,L,37,35
Anthony Edwards,MIN @ POR,02/15/2024,W,33,34
Jayson Tatum,BOS @ CHI,02/22/2024,W,35,25
Stephen Curry,GSW vs. LAL,02/22/2024,W,32,32
James Harden,LAC @ OKC,02/22/2024,L,29,17
Jalen Brunson,NYK @ PHI,02/22/2024,W,39,21
Shai Gilgeous-Alexander,OKC vs. LAC,02/22/2024,W,35,31
Wendell Carter Jr.,ORL @ CLE,02/22/2024,W,23,12
Tyrese Maxey,PHI vs. NYK,02/22/2024,L,40,35
Kevin Durant,PHX @ DAL,02/22/2024,L,40,23
Victor Wembanyama,SAS @ SAC,02/22/2024,L,31,19
Trae Young,ATL vs. TOR,02/23/2024,L,35,11
Stephen Curry,GSW vs. CHA,02/23/2024,W,31,15
James Harden,LAC @ MEM,02/23/2024,W,39,9
LeBron James,LAL vs. SAS,02/23/2024,W,34,30
Giannis Antetokounmpo,MIL @ MIN,02/23/2024,W,41,33
Anthony Edwards,MIN vs. MIL,02/23/2024,L,38,28
Shai Gilgeous-Alexander,OKC vs. WAS,02/23/2024,W,30,30
Tyrese Maxey,PHI vs. CLE,02/23/2024,W,39,24
Kevin Durant,PHX @ HOU,02/23/2024,L,38,28
Victor Wembanyama,SAS @ LAL,02/23/2024,L,31,27
Jayson Tatum,BOS @ NYK,02/24/2024,W,43,19
Anthony Edwards,MIN vs. BKN,02/24/2024,W,38,29
Jalen Brunson,NYK vs. BOS,02/24/2024,L,38,34
Wendell Carter Jr.,ORL @ DET,02/24/2024,W,22,11
Stephen Curry,GSW vs. DEN,02/25/2024,L,32,20
James Harden,LAC vs. SAC,02/25/2024,L,35,20
LeBron James,LAL @ PHX,02/25/2024,L,37,28
Giannis Antetokounmpo,MIL @ PHI,02/25/2024,W,36,30
Shai Gilgeous-Alexander,OKC @ HOU,02/25/2024,W,37,36
Wendell Carter Jr.,ORL @ ATL,02/25/2024,L,34,18
Tyrese Maxey,PHI vs. MIL,02/25/2024,L,38,24
Kevin Durant,PHX vs. LAL,02/25/2024,W,39,22
Victor Wembanyama,SAS @ UTA,02/25/2024,L,27,22
Jalen Brunson,NYK vs. DET,02/26/2024,W,40,35
Jayson Tatum,BOS vs. PHI,02/27/2024,W,35,29
Stephen Curry,GSW @ WAS,02/27/2024,W,30,18
Giannis Antetokounmpo,MIL vs. CHA,02/27/2024,W,24,24
Anthony Edwards,MIN vs. SAS,02/27/2024,W,33,34
Shai Gilgeous-Alexander,OKC vs. HOU,02/27/2024,W,32,31
Wendell Carter Jr.,ORL vs. BKN,02/27/2024,W,22,10
Tyrese Maxey,PHI @ BOS,02/27/2024,L,37,32
Victor Wembanyama,SAS @ MIN,02/27/2024,L,34,17
James Harden,LAC vs. LAL,02/28/2024,L,40,23
LeBron James,LAL @ LAC,02/28/2024,W,37,34
Anthony Edwards,MIN vs. MEM,02/28/2024,W,40,34
Stephen Curry,GSW @ NYK,02/29/2024,W,32,31
LeBron James,LAL vs. WAS,02/29/2024,W,39,31
Giannis Antetokounmpo,MIL @ CHA,02/29/2024,W,33,24
Jalen Brunson,NYK vs. GSW,02/29/2024,L,37,27
Shai Gilgeous-Alexander,OKC @ SAS,02/29/2024,L,35,31
Wendell Carter Jr.,ORL vs. UTA,02/29/2024,W,22,6
Kevin Durant,PHX vs. HOU,02/29/2024,W,40,24
Victor Wembanyama,SAS vs. OKC,02/29/2024,W,32,28
Jayson Tatum,BOS vs. DAL,03/01/2024,W,37,32
Stephen Curry,GSW @ TOR,03/01/2024,W,30,25
James Harden,LAC vs. WAS,03/01/2024,W,25,28
Giannis Antetokounmpo,MIL @ CHI,03/01/2024,W,37,46
Anthony Edwards,MIN vs. SAC,03/01/2024,L,19,11
Tyrese Maxey,PHI vs. CHA,03/01/2024,W,39,33
LeBron James,LAL vs. DEN,03/02/2024,L,37,26
Kevin Durant,PHX vs. HOU,03/02/2024,L,39,30
Jayson Tatum,BOS vs. GSW,03/03/2024,W,25,27
Stephen Curry,GSW @ BOS,03/03/2024,L,17,4
James Harden,LAC @ MIN,03/03/2024,W,34,4
Anthony Edwards,MIN vs. LAC,03/03/2024,L,37,27
Jalen Brunson,NYK @ CLE,03/03/2024,W,1,0
Shai Gilgeous-Alexander,OKC @ PHX,03/03/2024,W,38,35
Wendell Carter Jr.,ORL vs. DET,03/03/2024,W,31,19
Tyrese Maxey,PHI @ DAL,03/03/2024,W,39,24
Kevin Durant,PHX vs. OKC,03/03/2024,L,36,20
Victor Wembanyama,SAS vs. IND,03/03/2024,W,31,31
James Harden,LAC @ MIL,03/04/2024,L,37,29
LeBron James,LAL vs. OKC,03/04/2024,W,31,19
Anthony Edwards,MIN vs. POR,03/04/2024,W,35,13
Shai Gilgeous-Alexander,OKC @ LAL,03/04/2024,L,30,20
Jayson Tatum,BOS @ CLE,03/05/2024,L,38,26
Wendell Carter Jr.,ORL @ CHA,03/05/2024,W,29,12
Kevin Durant,PHX @ DEN,03/05/2024,W,44,35
Victor Wembanyama,SAS @ HOU,03/05/2024,L,31,10
Stephen Curry,GSW vs. MIL,03/06/2024,W,31,29
James Harden,LAC @ HOU,03/06/2024,W,39,21
LeBron James,LAL vs. SAC,03/06/2024,L,36,31
Giannis Antetokounmpo,MIL @ GSW,03/06/2024,L,33,23
Shai Gilgeous-Alexander,OKC @ POR,03/06/2024,W,36,37
Jayson Tatum,BOS @ DEN,03/07/2024,L,39,15
Stephen Curry,GSW vs. CHI,03/07/2024,L,29,15
Anthony Edwards,MIN @ IND,03/07/2024,W,39,44
Kevin Durant,PHX vs. TOR,03/07/2024,W,35,35
Giannis Antetokounmpo,MIL @ LAL,03/08/2024,L,39,34
Anthony Edwards,MIN @ CLE,03/08/2024,L,42,19
Jalen Brunson,NYK vs. ORL,03/08/2024,W,29,26
Shai Gilgeous-Alexander,OKC vs. MIA,03/08/2024,W,36,37
Wendell Carter Jr.,ORL @ NYK,03/08/2024,L,25,7
Jayson Tatum,BOS @ PHX,03/09/2024,W,42,29
James Harden,LAC vs. CHI,03/09/2024,W,34,14
Kevin Durant,PHX vs. BOS,03/09/2024,L,37,45
James Harden,LAC vs. MIL,03/10/2024,L,36,13
LeBron James,LAL vs. MIN,03/10/2024,W,38,29
Giannis Antetokounmpo,MIL @ LAC,03/10/2024,W,39,34
Anthony Edwards,MIN @ LAL,03/10/2024,L,40,25
Jalen Brunson,NYK vs. PHI,03/10/2024,L,32,19
Shai Gilgeous-Alexander,OKC vs. MEM,03/10/2024,W,27,23
Wendell Carter Jr.,ORL vs. IND,03/10/2024,L,28,13
Jayson Tatum,BOS @ POR,03/11/2024,W,36,26
Kevin Durant,PHX @ CLE,03/11/2024,W,39,37
Victor Wembanyama,SAS vs. GSW,03/11/2024,L,31,27
Jayson Tatum,BOS @ UTA,03/12/2024,W,34,38
James Harden,LAC vs. MIN,03/12/2024,L,34,12
Giannis Antetokounmpo,MIL @ SAC,03/12/2024,L,33,30
Anthony Edwards,MIN @ LAC,03/12/2024,W,37,37
Jalen Brunson,NYK vs. PHI,03/12/2024,W,27,20
Shai Gilgeous-Alexander,OKC vs. IND,03/12/2024,L,37,30
Tyrese Maxey,PHI @ NYK,03/12/2024,L,28,17
Victor Wembanyama,SAS vs. HOU,03/12/2024,L,31,13
LeBron James,LAL @ SAC,03/13/2024,L,40,18
Wendell Carter Jr.,ORL vs. BKN,03/13/2024,W,27,15
Jayson Tatum,BOS vs. PHX,03/14/2024,W,33,26
Giannis Antetokounmpo,MIL vs. PHI,03/14/2024,W,37,32
Jalen Brunson,NYK @ POR,03/14/2024,W,38,45
Shai Gilgeous-Alexander,OKC vs. DAL,03/14/2024,W,37,31
Tyrese Maxey,PHI @ MIL,03/14/2024,L,37,30
Kevin Durant,PHX @ BOS,03/14/2024,L,34,20
Wendell Carter Jr.,ORL @ TOR,03/15/2024,W,28,15
Kevin Durant,PHX @ CHA,03/15/2024,W,38,13
Victor Wembanyama,SAS vs. DEN,03/15/2024,L,33,17
Stephen Curry,GSW @ LAL,03/16/2024,W,34,31
LeBron James,LAL vs. GSW,03/16/2024,L,38,40
Anthony Edwards,MIN @ UTA,03/16/2024,W,35,31
Jalen Brunson,NYK @ SAC,03/16/2024,W,36,42
Shai Gilgeous-Alexander,OKC @ MEM,03/16/2024,W,35,20
Tyrese Maxey,PHI vs. CHA,03/16/2024,W,40,30
Jayson Tatum,BOS @ WAS,03/17/2024,W,27,30
James Harden,LAC vs. ATL,03/17/2024,L,36,9
Wendell Carter Jr.,ORL vs. TOR,03/17/2024,W,27,9
Kevin Durant,PHX @ MIL,03/17/2024,L,41,11
Victor Wembanyama,SAS vs. BKN,03/17/2024,W,36,33
Stephen Curry,GSW vs. NYK,03/18/2024,L,33,27
LeBron James,LAL vs. ATL,03/18/2024,W,29,25
Anthony Edwards,MIN @ UTA,03/18/2024,W,38,32
Jalen Brunson,NYK @ GSW,03/18/2024,W,35,34
Tyrese Maxey,PHI vs. MIA,03/18/2024,W,41,30
Anthony Edwards,MIN vs. DEN,03/19/2024,L,38,30
Wendell Carter Jr.,ORL vs. CHA,03/19/2024,W,24,8
Victor Wembanyama,SAS vs. DAL,03/19/2024,L,32,12
Jayson Tatum,BOS vs. MIL,03/20/2024,W,39,31
Stephen Curry,GSW vs. MEM,03/20/2024,W,24,14
James Harden,LAC @ POR,03/20/2024,W,36,19
Shai Gilgeous-Alexander,OKC vs. UTA,03/20/2024,W,33,31
Tyrese Maxey,PHI @ PHX,03/20/2024,L,29,6
Kevin Durant,PHX vs. PHI,03/20/2024,W,36,22
Giannis Antetokounmpo,MIL vs. BKN,03/21/2024,W,35,21
Jalen Brunson,NYK @ DEN,03/21/2024,L,34,26
Wendell Carter Jr.,ORL vs. NOP,03/21/2024,W,23,8
Kevin Durant,PHX vs. ATL,03/21/2024,W,37,19
Stephen Curry,GSW vs. IND,03/22/2024,L,35,25
James Harden,LAC @ POR,03/22/2024,W,36,15
LeBron James,LAL vs. PHI,03/22/2024,W,38,20
Anthony Edwards,MIN vs. CLE,03/22/2024,W,35,16
Shai Gilgeous-Alexander,OKC @ TOR,03/22/2024,W,33,23
Tyrese Maxey,PHI @ LAL,03/22/2024,L,39,27
Victor Wembanyama,SAS vs. MEM,03/22/2024,L,33,31
Jayson Tatum,BOS @ CHI,03/23/2024,W,37,26
Jalen Brunson,NYK vs. BKN,03/23/2024,W,33,17
Wendell Carter Jr.,ORL vs. SAC,03/23/2024,L,23,3
Kevin Durant,PHX @ SAS,03/23/2024,W,31,25
Victor Wembanyama,SAS vs. PHX,03/23/2024,L,21,13
Stephen Curry,GSW @ MIN,03/24/2024,L,30,31
James Harden,LAC vs. PHI,03/24/2024,L,34,12
LeBron James,LAL vs. IND,03/24/2024,W,38,26
Giannis Antetokounmpo,MIL vs. OKC,03/24/2024,W,34,30
Anthony Edwards,MIN vs. GSW,03/24/2024,W,38,23
Shai Gilgeous-Alexander,OKC @ MIL,03/24/2024,L,30,12
Tyrese Maxey,PHI @ LAC,03/24/2024,W,44,24
Jayson Tatum,BOS @ ATL,03/25/2024,L,39,37
James Harden,LAC vs. IND,03/25/2024,L,34,11
Jalen Brunson,NYK vs. DET,03/25/2024,W,30,28
Tyrese Maxey,PHI @ SAC,03/25/2024,L,35,29
Kevin Durant,PHX @ SAS,03/25/2024,L,36,29
Stephen Curry,GSW @ MIA,03/26/2024,W,31,17
Giannis Antetokounmpo,MIL vs. LAL,03/26/2024,L,46,29
Shai Gilgeous-Alexander,OKC @ NOP,03/26/2024,W,38,24
Stephen Curry,GSW @ ORL,03/27/2024,W,35,17
James Harden,LAC @ PHI,03/27/2024,W,39,16
LeBron James,LAL @ MEM,03/27/2024,W,35,23
Anthony Edwards,MIN vs. DET,03/27/2024,W,29,9
Jalen Brunson,NYK @ TOR,03/27/2024,W,29,26
Wendell Carter Jr.,ORL vs. GSW,03/27/2024,L,19,7
Tyrese Maxey,PHI vs. LAC,03/27/2024,L,44,26
Kevin Durant,PHX @ DEN,03/27/2024,W,38,30
Victor Wembanyama,SAS @ UTA,03/27/2024,W,30,19
Jayson Tatum,BOS @ ATL,03/28/2024,L,45,31
Giannis Antetokounmpo,MIL @ NOP,03/28/2024,L,39,35
Stephen Curry,GSW @ CHA,03/29/2024,W,32,23
James Harden,LAC @ ORL,03/29/2024,W,37,11
LeBron James,LAL @ IND,03/29/2024,L,35,16
Anthony Edwards,MIN @ DEN,03/29/2024,W,39,25
Jalen Brunson,NYK @ SAS,03/29/2024,L,43,61
Wendell Carter Jr.,ORL vs. LAC,03/29/2024,L,24,2
Tyrese Maxey,PHI @ CLE,03/29/2024,L,43,16
Kevin Durant,PHX @ OKC,03/29/2024,L,31,26
Victor Wembanyama,SAS vs. NYK,03/29/2024,W,38,40
Jayson Tatum,BOS @ NOP,03/30/2024,W,36,23
Giannis Antetokounmpo,MIL @ ATL,03/30/2024,W,38,36
Wendell Carter Jr.,ORL vs. MEM,03/30/2024,W,28,15
Stephen Curry,GSW @ SAS,03/31/2024,W,33,33
James Harden,LAC @ CHA,03/31/2024,W,36,6
LeBron James,LAL @ BKN,03/31/2024,W,37,40
Anthony Edwards,MIN vs. CHI,03/31/2024,L,36,22
Jalen Brunson,NYK vs. OKC,03/31/2024,L,35,30
